"wikidata1","event","subject","wikidata2","date_from"
"Q1460634","change_state","БССР ( 2 лістапада 1939 г. )","Q2895",1939
"Q1460634","change_state","Рэспубліка Беларусь (ад 1991 г.)","Q184",1991
"Q1460634","get_magdeburg",,,1754
"Q1460634","become_town",,,1613
"Q1460634","become_settlement",,,1947
"Q1460634","become_agrotown",,,"20??"
"Q730175","change_state","ВКЛ","Q49683","12??"
"Q730175","change_state","Рэч Паспалітая (з 1569 г.)","Q172107",1569
"Q730175","change_state","Расійская імперыя (з 1772 г.)","Q34266",1772
"Q730175","change_state","БНР ( з 25 сакавіка 1918 г.)","Q842199",1918
"Q730175","change_state","БССР (1-15 студзеня 1919 г.)","Q2895",1919
"Q730175","change_state","РСФСР (з 16 студзеня 1919 г.)","Q2184",1919
"Q730175","change_state","БССР (з 1924 г.)","Q2895",1924
"Q730175","change_state","Рэспубліка Беларусь (ад 1991 г.)","Q184",1991
"Q730175","get_magdeburg",,,"10.04.1762"
"Q730175","become_town",,,1777
"Q730175","become_city",,,1925
"Q2987234","change_state","Полацкае княства (IX ст.)","Q517333","8??"
"Q2987234","change_state","ВКЛ (з XIV ст.)","Q49683","13??"
"Q2987234","change_state","Рэч Паспалітая (з 1569 г.)","Q172107",1569
"Q2987234","change_state","Расійская імперыя (з 1793 г.)","Q34266",1793
"Q2987234","change_state","БНР ( з 25 сакавіка 1918 г.)","Q842199",1918
"Q2987234","change_state","БССР (1-15 студзеня 1919 г.)","Q2895",1919
"Q2987234","change_state","РСФСР (з 16 студзеня 1919 г.)","Q2184",1919
"Q2987234","change_state","БССР (з 1924 г.)","Q2895",1924
"Q2987234","change_state","Рэспубліка Беларусь (ад 1991 г.)","Q184",1991
"Q2987234","get_magdeburg",,,"23.06.1758"
"Q2987234","become_settlement",,,1938
"Q431779","change_state","ВКЛ","Q49683","12??"
"Q431779","change_state","Рэч Паспалітая (з 1569 г.)","Q172107",1569
"Q431779","change_state","Расійская імперыя (з 1795 г.)","Q34266",1795
"Q431779","change_state","БНР ( з 25 сакавіка 1918 г.)","Q842199",1918
"Q431779","change_state","БССР ( з 1 студзеня 1919 г.)","Q2895",1919
"Q431779","change_state","Польская рэспубліка (II Рэч Паспалітая) ( з 1921 г.)","Q207272",1921
"Q431779","change_state","БССР (з 1939 г.)","Q2895",1939
"Q431779","change_state","Рэспубліка Беларусь (ад 1991 г.)","Q184",1991
"Q431779","get_magdeburg",,,"23.05.1761"
"Q431779","become_city",,,1931
"Q431779","become_village",,,1939
"Q431779","become_city",,,31.08.1962
"Q2659074","change_state","ВКЛ","Q49683","12??"
"Q2659074","change_state","Рэч Паспалітая (з 1569 г.)","Q172107",1569
"Q2659074","change_state","Расійская імперыя (з 1793 г.)","Q34266",1793
"Q2659074","change_state","БНР ( з 25 сакавіка 1918 г.)","Q842199",1918
"Q2659074","change_state","БССР ( 1-15 студзеня 1919 г.)","Q2895",1919
"Q2659074","change_state","РСФСР (з 16 студзеня 1919 г.)","Q2184",1919
"Q2659074","change_state","БССР (з 1924 г.)","Q2895",1924
"Q2659074","change_state","Рэспубліка Беларусь (ад 1991 г.)","Q184",1991
"Q2659074","get_magdeburg",,,"01.12.1762"
"Q2659074","become_village",,,27.09.1938
"Q2659074","become_settlement",,,17.02.1941
"Q201218","change_state","ВКЛ","Q49683","12??"
"Q201218","change_state","Рэч Паспалітая (з 1569 г.)","Q172107",1569
"Q201218","change_state","Расійская імперыя (з 1793 г.)","Q34266",1793
"Q201218","change_state","Польская рэспубліка (II Рэч Паспалітая) ( з 1921 г.)","Q207272",1921
"Q201218","change_state","БССР (з 1939 г.)","Q2895",1939
"Q201218","change_state","Рэспубліка Беларусь (ад 1991 г.)","Q184",1991
"Q201218","get_magdeburg",,,"06.10.1762"
"Q201218","become_town",,,1736
"Q201218","become_settlement",,,1959
"Q201218","become_city",,,1998
"Q13134177","change_state","ВКЛ","Q49683","12??"
"Q13134177","change_state","Рэч Паспалітая (з 1569 г.)","Q172107",1569
"Q13134177","change_state","Расійская імперыя (з 1793 г.)","Q34266",1793
"Q13134177","change_state","БССР (1-15 студзеня 1919 г.)","Q2895",1919
"Q13134177","change_state","РСФСР (з 16 студзеня 1919 г.)","Q2184",1919
"Q13134177","change_state","БССР ( з 1924 г.)","Q2895",1924
"Q13134177","change_state","Рэспубліка Беларусь (ад 1991 г.)","Q184",1991
"Q13134177","get_magdeburg",,,"12.01.1767"
"Q13134177","become_village",,,"19??"
"Q19313","change_state","ВКЛ (з У XIII—XIV ст.)","Q49683","12??"
"Q19313","change_state","Рэч Паспалітая (з 1569 г.)","Q172107",1569
"Q19313","change_state","Расійская імперыя (з 1793 г.)","Q34266",1793
"Q19313","change_state","БНР ( з 25 сакавіка 1918 г.)","Q842199",1918
"Q19313","change_state","БССР (з 1 студзеня 1919 г.)","Q2895",1919
"Q19313","change_state","Рэспубліка Беларусь (ад 1991 г.)","Q184",1991
"Q19313","get_magdeburg",,,1563
"Q628623","change_state","ВКЛ (з XIV ст.)","Q49683","13??"
"Q628623","change_state","Рэч Паспалітая (з 1569 г.)","Q172107",1569
"Q628623","change_state","Расійская імперыя (з 1795 г.)","Q34266",1795
"Q628623","change_state","БНР ( з 25 сакавіка 1918 г.)","Q842199",1918
"Q628623","change_state","БССР (з 1 студзеня 1919 г.)","Q2895",1919
"Q628623","change_state","Сярэдняя Літва (з 1920 г.)","Q523380",1920
"Q628623","change_state","Польская рэспубліка (II Рэч Паспалітая) ( з 1922 г.)","Q207272",1922
"Q628623","change_state","БССР (з 1939 г.)","Q2895",1939
"Q628623","change_state","Рэспубліка Беларусь (ад 1991 г.)","Q184",1991
"Q628623","get_magdeburg",,,"8.10.1500"
"Q628623","become_town",,,1795
"Q2648542","change_state","ВКЛ","Q49683","12??"
"Q2648542","change_state","Рэч Паспалітая (з 1569 г.)","Q172107",1569
"Q2648542","change_state","Расійская імперыя (з 1793 г.)","Q34266",1793
"Q2648542","change_state","Польская рэспубліка (II Рэч Паспалітая) ( з 1922 г.)","Q207272",1922
"Q2648542","change_state","БССР (з 1939 г.)","Q2895",1939
